Model,Attack_Type,Noise_STD,MSE,MAE,RMSE,STD_ERROR,Clean_RMSE,RMSE_Degradation_Pct
LSTM,Gaussian_Noise,0.0,0.005381899885833263,0.03944429010152817,0.07336143323186416,0.07158790528774261,0.07336143323186416,0.0
LSTM,Gaussian_Noise,0.05,0.005382510367780924,0.03944215178489685,0.07336559389646433,0.07158920168876648,0.07336143323186416,0.005671460353043449
LSTM,Gaussian_Noise,0.1,0.005384180229157209,0.039440929889678955,0.0733769734259816,0.07159265875816345,0.07336143323186416,0.021183056863574176
LSTM,Gaussian_Noise,0.2,0.005390684586018324,0.03944038599729538,0.07342128156071864,0.07160601764917374,0.07336143323186416,0.08158009763158736
LSTM,Gaussian_Noise,0.3,0.005401366390287876,0.03944547101855278,0.07349398880376459,0.07162780314683914,0.07336143323186416,0.18068836180106332
LSTM,Gaussian_Noise,0.5,0.005434922408312559,0.039483632892370224,0.07372192623848457,0.07169533520936966,0.07336143323186416,0.4913930804501209
GRU,Gaussian_Noise,0.0,0.004736183676868677,0.039437174797058105,0.06881993662354446,0.06825298815965652,0.06881993662354446,0.0
GRU,Gaussian_Noise,0.05,0.004736500792205334,0.039461731910705566,0.06882224053462176,0.06825520843267441,0.06881993662354446,0.0033477378654020763
GRU,Gaussian_Noise,0.1,0.0047420598566532135,0.03953661397099495,0.0688626158133222,0.06829433888196945,0.06881993662354446,0.062015735369244325
GRU,Gaussian_Noise,0.2,0.004768721293658018,0.039822760969400406,0.06905592873648154,0.06848163902759552,0.06881993662354446,0.34291242409593237
GRU,Gaussian_Noise,0.3,0.004815578926354647,0.04026252031326294,0.06939437244009522,0.06880944967269897,0.06881993662354446,0.8346939051876887
GRU,Gaussian_Noise,0.5,0.004965944681316614,0.041628673672676086,0.07046945920976415,0.06984975934028625,0.06881993662354446,2.3968673427335805
CNN,Gaussian_Noise,0.0,0.0048912810161709785,0.040214478969573975,0.06993769381507356,0.0696810707449913,0.06993769381507356,0.0
CNN,Gaussian_Noise,0.05,0.004890709649771452,0.04023365676403046,0.0699336088713535,0.06968216598033905,0.06993769381507356,-0.005840832743017085
CNN,Gaussian_Noise,0.1,0.0048915920779109,0.04030270129442215,0.06993991762871114,0.06970507651567459,0.06993769381507356,0.0031797068451579536
CNN,Gaussian_Noise,0.2,0.004896538332104683,0.04062299802899361,0.06997526943216927,0.06980438530445099,0.06993769381507356,0.05372727501576165
CNN,Gaussian_Noise,0.3,0.004903547931462526,0.041195258498191833,0.07002533778185241,0.06994360685348511,0.06993769381507356,0.12531721021655995
CNN,Gaussian_Noise,0.5,0.004941483959555626,0.043262578547000885,0.07029568948061912,0.0702715665102005,0.06993769381507356,0.5118779959947788
PINN,Gaussian_Noise,0.0,0.005129671655595303,0.039710432291030884,0.07162172614224892,0.07060358673334122,0.07162172614224892,0.0
PINN,Gaussian_Noise,0.05,0.005128876771777868,0.03970722481608391,0.07161617674644373,0.07059798389673233,0.07162172614224892,-0.007748201703720501
PINN,Gaussian_Noise,0.1,0.005128413904458284,0.039705757051706314,0.0716129450899646,0.07059405744075775,0.07162172614224892,-0.012260319259654491
PINN,Gaussian_Noise,0.2,0.0051284790970385075,0.03970733657479286,0.07161340026167244,0.07059118896722794,0.07162172614224892,-0.011624797425211688
PINN,Gaussian_Noise,0.3,0.0051298378966748714,0.03971424698829651,0.07162288668208558,0.07059486955404282,0.07162172614224892,0.0016203740110320285
PINN,Gaussian_Noise,0.5,0.0051362174563109875,0.039743781089782715,0.0716674086060811,0.07062084972858429,0.07162172614224892,0.06378296962775741
PINN-LWR,Gaussian_Noise,0.0,0.007899348624050617,0.05416559427976608,0.08887827982162243,0.07118307799100876,0.08887827982162243,0.0
PINN-LWR,Gaussian_Noise,0.05,0.007901488803327084,0.05417843535542488,0.08889031895165572,0.07119050621986389,0.08887827982162243,0.013545637986533292
PINN-LWR,Gaussian_Noise,0.1,0.007906780578196049,0.054216619580984116,0.08892007972441347,0.07120388746261597,0.08887827982162243,0.04703050382493593
PINN-LWR,Gaussian_Noise,0.2,0.007926711812615395,0.05437123775482178,0.08903208305220874,0.07124830037355423,0.08887827982162243,0.17304928818940812
PINN-LWR,Gaussian_Noise,0.3,0.007958785630762577,0.0546189546585083,0.08921202626755306,0.07131548970937729,0.08887827982162243,0.37550956949263686
PINN-LWR,Gaussian_Noise,0.5,0.00805693119764328,0.05537575110793114,0.08976040996811055,0.0715128555893898,0.08887827982162243,0.9925148734410093
